"","TransactionNumber","UserID","Age","Gender","Occupation","EducationLevel","MaritalStatus","NumDependents","Income","Expenditure","GiftsTransaction","TransactionDate","TransactionTime","TransactionAmount","MerchantID","TransactionType","TransactionLocation","DeviceType","Latitude","Longitude","EmailDomain","Terrorism","UserTenure","IsFraud"
"1",8765,70,37,"Female","Professional","Bachelor","Widowed",3,28884.43,14610.61,"£ 1050.01","2023-03-12","12:25:57",258.14,"M006","Withdrawal","Adelaide","Mobile",-31.840233,145.612793,"jon44@disposable.com","False",113,1
"2",9645,3386,34,"Male","Student","High School","Married",4,54919.07,39169.49,"£ 4969.71","2023-03-05","18:27:24",34.94,"M002","Withdrawal","Canberra","Mobile",-37.0201,144.9646,"emilyreese@gmail.com","False",104,1
"3",1145,2971,25,"Male","Unemployed","Master","Married",2,74728.57,55873.76,"£ 1149.85","2023-11-10","17:16:56",323.82,"M008","Purchase","Brisbane","Mobile",-31.840233,145.612793,"fordevan@gmail.com","False",105,0
"4",15308,2925,25,"Male","Professional","High School","Married",3,55712.62,35859.616,"AU$ 4335.7","2023-10-07","00/34/17",12.996,"M001","Purchase","Darwin","iphone 15",-37.0201,144.9646,"kathleenlewis@tempmail.com","False",70,1
"5",14967,2339,38,"Male","Professional","High School","Single",4,53004.7,17440.408,"4763.48 AUD","2023-09-22","06:40:08 PM",456.3,"M001","Withdrawal","MLB","Tablet",-37.0201,144.9646,"kristinawhite@gmail.com","False",27,0
"6",15336,234,32,"Female","Student","Bachelor","Single",1,101381.56,32414.52,"196.29 AUD","2023-06-30","03:59:57",26.956,"M003","Withdrawal","Mel","Tablet",-37.0201,144.9646,"marcpadilla@gmail.com","False",35,1
"7",17281,1617,18,"Male","Professional","High School","Single",1,63035.98,36644.056,"3009.44 AUD","2023-11-21","15:00:38",359.84,"M007","Purchase","Sydney","Tablet",-31.840233,145.612793,"lindsay08@outlook.com","False",53,0
"8",4829,877,39,"Male","Professional","High School","Single",4,61284.85,36604.93,"1214.27 GBP","2023-12-15","19/28/28",19.41,"M007","Payment","Hobart","Desktop",-37.0201,144.9646,"hperez@gmail.com","False",19,0
"9",12301,4394,39,"Male","Student","Bachelor","Single",2,28419.25,11172.93,"600.92 GBP","2023-02-28","01:51:57",111.73,"M008","Withdrawal","Sydney","Mobile",-37.0201,144.9646,"ernestdavis@gmail.com","True",28,1
"10",9933,103,21,"Male","Student","High School","Single",3,57384.51,40721.71,"10819.52 GBP","2023-09-10","10:57:08",110.54,"M005","Transfer","Canberra","Mobile",-30.000233,136.209152,"amy88@gmail.com","False",99,0
"11",10840,3288,52,"Female","Professional","Master","Single",1,40702.41,21169.11,"£ 63.55","2023-10-24","16:28:04",97.07,"M008","Purchase","Canberra","Mobile",-31.840233,145.612793,"chapmankeith@gmail.com","False",107,0
"12",8798,358,56,"Male","Student","Bachelor","Widowed",3,58628.6,17873.88,"1082.43 GBP","2023-09-29","22/29/05",672.06,"M008","Withdrawal","Darwin","android",-20.917574,142.702789,"robinsonjean@gmail.com","False",20,1
"13",16671,1732,41,"Male","Student","Bachelor","Married",2,85310.21,32364.504,"4847.91 AUD","2023-12-24","20:08:05",416.644,"M006","Purchase","Hobart","Mobile",-20.917574,142.702789,"kathryn86@gmail.com","False",80,0
"14",12962,2407,-1,"Female","Student","High School","Widowed",0,52760.64,24006.32,"1582.84 GBP","2023-05-07","00:58:38",1255.79,"M006","Purchase","HBT","Mobile",-31.840233,145.612793,"anthonywashington@yahoo.com","False",47,1
"15",4605,3336,31,"Male","Professional","High School","Single",0,93197.13,68415.46,"£ 3304.34","2023-12-12","21:06:00",527.72,"M004","Transfer","Hobart","Mobile",-37.0201,144.9646,"crystal01@securemail.com","True",18,0
"16",9477,210,34,"Other","Retired","High School","Single",2,52587.15,38033.86,"2019.78 GBP","2023-12-18","08/56/27",192.2,"M007","Purchase","Canberra","Desktop",-20.917574,142.702789,"vanessa51@gmail.com","False",73,0
"17",8238,4228,35,"Male","Retired","Bachelor","Single",3,118437.1,39882.13,"£ 2740.89","2023-10-30","19:38:10",19.48,"M008","Purchase","Melb","iphone 15",-37.0201,144.9646,"scott47@outlook.com","True",108,0
"18",10643,2006,41,"Female","Professional","Bachelor","Single",2,68140.84,21877.39,"£ 2370.43","2023-04-15","05:14:44",3.41,"M008","Purchase","Sydney","Desktop",-37.0201,144.9646,"blevinsangela@gmail.com","False",9,1
"19",1835,65,21,"Female","Professional","Bachelor","Divorced",1,53705.83,41566.98,"1951.75 GBP","2023-10-28","05:42:44",65.21,"M006","Purchase","Brisbane","Tablet",-37.0201,144.9646,"larry74@securemail.com","True",100,1
"20",17034,1116,32,"Female","Professional","High School","Married",1,60108.48,24397.448,"2331.67 AUD","2023-04-12","01:46:26",33.408,"M006","Purchase","Adelaide","Mobile",-37.0201,144.9646,"owensbrianna@gmail.com","False",104,1
"21",8097,4530,18,"Male","Unemployed","Bachelor","Widowed",0,58974.57,33755.03,"£ 333.98","2023-12-23","04:43:20 PM",384.7,"M003","Purchase","Perth","Mobile",-37.0201,144.9646,"adrianbarker@securemail.com","False",45,0
"22",15195,4143,30,"Female","Professional","High School","Single",4,127088.35,52599.508,"AU$ 15901.04","2023-12-15","02:29:35",340.144,"M002","Purchase","Hobart","Mobile",-25.042261,117.793221,"dawnnguyen@disposable.com","False",82,1
"23",8237,1162,29,"Female","Student","Bachelor","Married",1,42903.25,31294.62,"£ 2936.4","2023-12-02","11:18:44",161.54,"M001","Payment","Mel","Mobile",-20.917574,142.702789,"philip96@gmail.com","True",101,0
"24",16688,1737,36,"Male","Professional","High School","Married",1,68350.31,24291.156,"873.61 AUD","2023-09-24","00:24:13",85.128,"M007","Transfer","Sydney","Desktop",-37.0201,144.9646,"vickie12@gmail.com","False",16,1
"25",17924,382,35,"Female","Student","High School","Single",0,78404.02,39890.248,"AU$ 6948.17","2023-10-08","08:53:21",422.172,"M008","Purchase","Melbourne","Mobile",-37.0201,144.9646,"kclark@gmail.com","False",11,0
"26",5852,2587,28,"Female","Professional","Bachelor","Single",1,66233.88,23587.19,"£ 9162.02","2023-09-25","23:21:12",119.03,"M003","Payment","Brisbane","Mobile",-30.000233,136.209152,"karen60@tempmail.com","True",48,0
"27",11620,3113,31,"Female","Professional","High School","Married",2,127411.46,54214.57,"3895.3 GBP","2023-11-20","21:55:22",106.33,"M002","Purchase","Hobart","Desktop",-31.840233,145.612793,"ybrown@yahoo.com","False",95,0
"28",9616,1371,30,"Male","Professional","High School","Widowed",4,53477.15,30523.44,"£ 2239.89","2023-11-21","11:01:45 AM",137.75,"M006","Purchase","canberra","Mobile",-31.840233,145.612793,"melissaknight@yahoo.com","False",37,0
"29",18255,1066,28,"Female","Retired","Bachelor","Single",1,75889.65,27870.56,"AU$ 5576.9","2023-09-06","15:59:49",230.308,"M008","Transfer","Perth","Tablet",-31.840233,145.612793,"james95@gmail.com","False",113,0
"30",18023,2358,21,"Male","Student","Master","Single",0,66119.48,27695.076,"AU$ 4513.98","2023-10-25","16:45:46",1065.068,"M004","Payment","Sydney","smartphone",-31.840233,145.612793,"ocarey@tempmail.com","False",67,0
"31",6826,2854,37,"Female","Professional","Bachelor","Married",1,77572.19,31716.53,"£ 2787.96","2023-07-07","17:26:41",593.4,"M001","Purchase","Adelaide","mob",-37.0201,144.9646,"hesterolivia@outlook.com","False",51,0
"32",477,453,52,"Male","Student","Bachelor","Married",1,155909.72,74590.43,"14787.59 GBP","2023-07-08","01:49:04",21.97,"M001","Withdrawal","Adelaide","Desktop",-31.840233,145.612793,"lisa99@gmail.com","True",68,1
